za,sha,sa,sah,zah,zha,hsa,ssa,Completa la palabra,Ca___
lla,yia,ya,la,lia,llia,yah,yal,Completa la palabra,Si__
si,sci,shi,zi,ci,csi,cci,zih,Completa la palabra,Co__na
rah,ga,da,rrha,rha,rad,rra,ra,Completa la palabra,Mo__do
go,wo,güo,gö,gu,guo,wuo,buo,Completa la palabra,Anti___
6,8,5,10,9,4,11,7,Realiza la operación,3+5=
10,15,12,17,1,9,13,14,Realiza la operación,7+6=
4,6,15,20,19,17,22,18,Realiza la operación,12+8=
16,23,14,17,9,22,10,15,Realiza la operación,19-4=
26,25,24,20,19,28,27,23,Realiza la operación,15+11=
3,1,5,8,6,2,7,4,8,1
